variant,step,selected_threshold,f1,iou,precision,recall,auprc,cldice,boundary_f1,centerline_assd_px,radius_mae,skeleton_length_rel_error,gt_foreground_ratio,pred_foreground_ratio,empty_gt_false_positive_rate
J2,4125,0.425,0.47215161722787874,0.3090304388198944,0.44125896581639495,0.5076959657442358,0.42266624921047685,0.5564810667580551,0.580626806315648,180.74836768108514,7.56139722678607,0.9989526646709067,0.030867222678521294,0.03551470816506133,1.0
J2,8250,0.55,0.5530398248634778,0.3822081452195169,0.5443498648662359,0.5620121503561305,0.5462809312058003,0.6701539450008087,0.7219980850424289,22.33388770897878,1.4784200343742977,0.9370638442312709,0.030867222678521294,0.03186876235044488,1.0
J2,12375,0.6,0.6024848421019656,0.431111520436291,0.5894754659222173,0.6160814742769178,0.6075128335558291,0.7132693315476742,0.7816179775581267,8.334454446606577,1.423472229991193,0.7091035262864357,0.030867222678521294,0.032260418663209445,1.0
J2,16500,0.625,0.6311074290352333,0.4610351478508446,0.61101008813565,0.6525720349130573,0.6391483574717225,0.7376953553121972,0.8145631704635132,6.056635037324506,1.5094886144400468,0.5903175562869586,0.030867222678521294,0.03296687423400246,1.0
J2E,4125,0.775,0.5049270132320418,0.337727408112893,0.47319179932987543,0.5412253596236895,0.46355312632857976,0.6175556252878507,0.6451079547251739,75.54048262057051,3.05465375513724,0.9976886744089845,0.030867222678521294,0.03530520615119644,1.0
J2E,8250,0.625,0.5796417761760451,0.4080955732051246,0.5660406840209351,0.5939129332659642,0.5798360040076481,0.7061864630744291,0.7547120458215866,10.67623119960024,1.2476061992877585,0.8038998278436545,0.030867222678521294,0.03238714780985444,1.0
J2E,12375,0.675,0.6234226745132684,0.45287884141794316,0.6035408022947387,0.6446591692895188,0.6301793589327411,0.745992433924309,0.8116555241828478,6.4613510310314,1.3214585912458305,0.5629681836078099,0.030867222678521294,0.03297016642055762,1.0
J2E,16500,0.7,0.6340860702021207,0.4642211279539295,0.618402151351782,0.650586422252035,0.6465239294883346,0.7537534166906227,0.8156883953580067,7.0028754272938665,1.3169300218739013,0.5735218879635628,0.030867222678521294,0.032473689503066686,1.0
J3,4125,0.425,0.4761174983010545,0.3124371988570065,0.4423149625605571,0.5155144052744695,0.42840181396643523,0.5659213374531361,0.5837743632561696,152.28383921538773,6.308226461569523,0.9987858947454623,0.030867222678521294,0.03597553203084507,1.0
J3,8250,0.625,0.5624637773679532,0.391269382653639,0.5520142953793089,0.5733167711878796,0.5568205374355276,0.6771173480557343,0.737563365511387,11.184876800858387,1.2910621504290976,0.8539019694266285,0.030867222678521294,0.03205840368475186,1.0
J3,12375,0.6,0.5998388542329464,0.42840703249416584,0.5817401054177531,0.6191000346069582,0.6015936344112016,0.7066408044208708,0.7833497132333324,7.138876161242168,1.4012395955277215,0.6281743650018717,0.030867222678521294,0.03284954922563386,1.0
J3,16500,0.65,0.6203972626326452,0.4496927811935827,0.5897487191787596,0.6544065111642458,0.6210544360004501,0.7162990537829602,0.8072785679837136,5.869284453024867,1.451188520937849,0.48977179901004764,0.030867222678521294,0.03425139220896143,1.0
J4,4125,0.775,0.5049314700833754,0.3377313846491952,0.46824978461426314,0.547849056268591,0.4629981634795916,0.6216687661460482,0.6424984082981233,106.30647762657014,4.201264874071769,0.9985417282624199,0.030867222678521294,0.0361144513365476,1.0
J4,8250,0.675,0.5831510537181629,0.4115831596887657,0.5746435564172324,0.5919146120279848,0.5822410623957359,0.7017380649662552,0.7612266139149197,8.885077406089925,1.1920084646387437,0.7779486888622489,0.030867222678521294,0.03179495072644912,1.0
J4,12375,0.725,0.6287788691052929,0.45855400104957145,0.6137564655807383,0.6445555192290676,0.6349522500205759,0.743258348410935,0.8173652924973139,5.598710551022274,1.4083607008437413,0.5116127192329288,0.030867222678521294,0.032416191180162625,1.0
J4,16500,0.7,0.6386383717868328,0.4691174412411592,0.6191356667106427,0.6594100692241653,0.6490584788200808,0.7536516115289509,0.8235876675529851,5.427755592997965,1.3916466351245795,0.4611125485718257,0.030867222678521294,0.032875121142341916,1.0
